sheet,window_start,split,flow_feature_mode,reconstruction_mse,dominant_anomalous_feature,supply_median,supply_std,return_median,return_std,flow_median,flow_std,delta_t_median,delta_t_p05,delta_t_min,active_fraction_mean,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,stabilized_flow_log_feature_reconstruction_mse,anomaly_cluster,distance_to_center,pca_1,pca_2
cons_hostatgeria_DHW_radiators,2024-09-20 05:00:00,train,stabilized_log,0.5189232,stabilized_flow_log_feature,81.55500030517578,1.3293417692184448,75.78500366210938,2.036642551422119,0.6598615050315857,0.2872464954853058,5.534996032714844,2.9200000762939453,1.029998779296875,1.0,0.054729685,0.12363253,1.3784075,0,1.3316939034701716,-1.5197925374973553,-1.784731582942013
cons_hostatgeria_DHW_radiators,2024-09-20 17:00:00,train,stabilized_log,0.48900038,stabilized_flow_log_feature,81.92500305175781,0.9969120025634766,75.7550048828125,2.0984928607940674,0.5702916383743286,0.25124862790107727,6.070003509521484,3.05999755859375,1.8299942016601562,1.0,0.049412128,0.13803455,1.2795545,0,1.3269302101765796,-1.2920133953507573,-1.9895917747621237
cons_hostatgeria_DHW_radiators,2024-09-21 05:00:00,train,stabilized_log,0.36018592,stabilized_flow_log_feature,79.8499984741211,6.537278175354004,74.33000183105469,4.73342227935791,0.7186100482940674,0.2574143409729004,4.1399993896484375,1.260000228881836,0.5200042724609375,1.0,0.09472415,0.13404912,0.8517845,0,1.5075976789340513,-1.543969574677271,-0.27065544002878467
cons_hostatgeria_DHW_radiators,2025-03-01 05:00:00,train,stabilized_log,0.53748345,supply_temp_c,69.7750015258789,13.200568199157715,57.459999084472656,11.514347076416016,1.0278375148773193,0.12919959425926208,6.114995956420898,1.7424983978271484,0.13000106811523438,0.99375,0.8398338,0.56713617,0.2054802,1,2.980355642505857,0.21641911485769297,2.492188333269947
cons_hostatgeria_DHW_radiators,2025-03-01 17:00:00,train,stabilized_log,0.3773517,supply_temp_c,77.85000610351562,4.918172836303711,69.64500427246094,6.400595188140869,0.909599781036377,0.09260587394237518,8.015003204345703,4.010002136230469,0.13000106811523438,1.0,0.5181902,0.4856882,0.12817676,1,2.9745405817851696,-0.49795916304301363,-0.019009246887796094
cons_hostatgeria_DHW_radiators,2025-03-06 05:00:00,train,stabilized_log,0.42311203,return_temp_c,75.58999633789062,10.502303123474121,62.45000076293945,8.823221206665039,0.8301873803138733,0.25229012966156006,9.170001983642578,3.0087480545043945,0.0800018310546875,0.875,0.38668385,0.55601037,0.3266418,1,1.6652134454491925,0.07795237275083991,1.6846900136803078
cons_hostatgeria_DHW_radiators,2025-03-17 17:00:00,train,stabilized_log,0.4777287,stabilized_flow_log_feature,77.02499389648438,6.446958065032959,66.69999694824219,7.724948883056641,0.7678917646408081,0.3410939574241638,8.75,3.0024967193603516,1.3199996948242188,0.9770833333333334,0.1940956,0.5519447,0.6871457,1,1.7053965930529609,-0.4241925238737855,0.5824075226530091
cons_hostatgeria_DHW_radiators,2025-06-16 05:00:00,test,stabilized_log,0.78757906,stabilized_flow_log_feature,77.93499755859375,2.878786563873291,74.19999694824219,3.169511079788208,0.7223010659217834,0.377002477645874,3.1100006103515625,0.2999992370605469,0.04000091552734375,0.9104166666666668,0.16122462,0.1727621,2.0287507,0,1.9041639936342305,-1.649974075455826,-1.0470692438121172
cons_hostatgeria_DHW_radiators,2025-06-16 17:00:00,test,stabilized_log,1.1052167,stabilized_flow_log_feature,78.17500305175781,2.6328537464141846,74.30000305175781,2.5164825916290283,0.6590198278427124,0.38838285207748413,2.6875,0.4300041198730469,0.0500030517578125,0.8625000000000002,0.14005204,0.17480876,3.000789,0,3.4414783707877312,-1.4661643909744155,-1.6307625965694832
cons_hostatgeria_DHW_radiators,2025-06-17 05:00:00,test,stabilized_log,1.0575867,stabilized_flow_log_feature,77.79000091552734,2.69356369972229,74.30999755859375,2.668621063232422,0.6838467717170715,0.37565553188323975,2.5,0.3625011444091797,0.0500030517578125,0.9041666666666668,0.20996265,0.1666029,2.796194,0,3.026728170788232,-1.5441995721691637,-1.5594799391205791
cons_hostatgeria_DHW_radiators,2025-06-17 17:00:00,test,stabilized_log,1.0298481,stabilized_flow_log_feature,77.35499572753906,3.043914318084717,74.10749816894531,3.0431716442108154,0.6680004596710205,0.3630380630493164,2.3375015258789062,0.34000205993652344,0.1100006103515625,0.9583333333333334,0.21985166,0.20260926,2.6670835,0,2.7675903629577943,-1.5600514729676642,-1.5246974769631572
cons_hostatgeria_DHW_radiators,2025-06-18 05:00:00,test,stabilized_log,1.0033337,stabilized_flow_log_feature,77.88999938964844,3.139646053314209,73.92500305175781,2.899599075317383,0.6612688302993774,0.3646481931209564,2.5149993896484375,0.2800006866455078,0.01999664306640625,0.9729166666666668,0.19103956,0.19006379,2.6288974,0,2.7122264453718823,-1.612928874833062,-1.5471222585872435
cons_hostatgeria_DHW_radiators,2025-06-18 17:00:00,test,stabilized_log,0.8410917,stabilized_flow_log_feature,76.89999389648438,4.585505962371826,73.61000061035156,4.059604167938232,0.6385369300842285,0.3530316948890686,2.485004425048828,0.14750289916992188,0.01999664306640625,0.9562500000000002,0.17405695,0.18179667,2.1674216,0,1.9510630239596907,-1.5404611942434385,-0.9337028119384412
cons_hostatgeria_DHW_radiators,2025-06-19 05:00:00,test,stabilized_log,0.6523484,stabilized_flow_log_feature,79.20999908447266,5.316266059875488,73.98500061035156,4.2434401512146,0.4932199716567993,0.3272871673107147,4.069999694824219,0.30249977111816406,0.0500030517578125,0.9500000000000001,0.18004405,0.21692745,1.5600737,0,1.0079430688229514,-1.339339784704098,-0.7433408693989019
cons_hostatgeria_DHW_radiators,2025-06-19 17:00:00,test,stabilized_log,0.53076315,stabilized_flow_log_feature,78.94499969482422,7.501016139984131,73.18499755859375,6.05903959274292,0.48281580209732056,0.28387582302093506,4.490001678466797,0.5499973297119141,0.12999725341796875,0.9729166666666668,0.13843243,0.19660635,1.2572504,0,1.3437871009088593,-1.1901056778307917,-0.16889873650727302
cons_hostatgeria_DHW_radiators,2025-06-20 05:00:00,test,stabilized_log,0.46008837,stabilized_flow_log_feature,79.15499877929688,7.5741353034973145,72.41250610351562,6.17568826675415,0.3540511727333069,0.2719272971153259,4.814998626708984,0.7000007629394531,0.13000106811523438,0.9583333333333334,0.13478081,0.2573569,0.9881274,0,1.5204349675768394,-0.9743015984272198,-0.13144108014540212
cons_hostatgeria_DHW_radiators,2025-06-20 17:00:00,test,stabilized_log,0.47406694,stabilized_flow_log_feature,81.30500030517578,2.994354724884033,74.47000122070312,3.4570324420928955,0.317721426486969,0.21746452152729034,7.180000305175781,1.5050010681152344,0.2299957275390625,0.9249999999999999,0.12772442,0.23878382,1.0556926,0,1.1030561496055376,-0.9116161190798946,-1.4027308719399372
cons_hostatgeria_DHW_radiators,2025-06-21 05:00:00,test,stabilized_log,0.4324597,stabilized_flow_log_feature,81.29499816894531,3.049912452697754,74.41500091552734,3.1328999996185303,0.3432610034942627,0.20511159300804138,6.914997100830078,2.0475006103515625,0.2299957275390625,0.9333333333333332,0.12192858,0.1739213,1.0015293,0,1.096581463986488,-0.9639703213530425,-1.4565751463626453
cons_hostatgeria_DHW_radiators,2025-06-21 17:00:00,test,stabilized_log,0.5022733,stabilized_flow_log_feature,81.25,2.683264970779419,74.55500030517578,2.6479291915893555,0.346527636051178,0.22992798686027527,6.465003967285156,0.6800003051757812,0.25,0.9500000000000001,0.15805219,0.17084491,1.1779228,0,0.9414856554704842,-1.1529777302665036,-1.5818127948703236
cons_hostatgeria_DHW_radiators,2025-06-22 05:00:00,test,stabilized_log,0.5724148,stabilized_flow_log_feature,81.1199951171875,2.5254011154174805,74.76000213623047,2.6315717697143555,0.33231472969055176,0.25561127066612244,6.217502593994141,0.6750011444091797,0.25,0.9503472222222223,0.14206071,0.16766657,1.4075173,0,0.9921378718516924,-1.1834734402752196,-1.6780029600088542
cons_hostatgeria_DHW_radiators,2025-06-22 17:00:00,test,stabilized_log,0.49255148,stabilized_flow_log_feature,81.2300033569336,2.6834940910339355,74.81500244140625,2.3793954849243164,0.37699782848358154,0.24590255320072174,5.795001983642578,1.5200023651123047,0.01000213623046875,0.9545138888888888,0.14353779,0.16700955,1.1671071,0,0.8410909458312656,-1.2296573997225446,-1.589062737857276
cons_hostatgeria_DHW_radiators,2025-06-23 05:00:00,test,stabilized_log,0.6237433,stabilized_flow_log_feature,81.4800033569336,2.483794689178467,74.85499572753906,2.503108263015747,0.3747881054878235,0.27024510502815247,5.7350006103515625,1.1649971008300781,0.01000213623046875,0.9687500000000001,0.12615223,0.1893189,1.555759,0,1.0667997092866097,-1.2664920682143428,-1.7569573094370952
