window_start,reconstruction_mse,is_reconstruction_anomaly,split,return_temp_c_reconstruction_mse,is_return_temp_c_channel_anomaly,dominant_anomalous_feature
2024-06-14 06:45:00,0.009298651,False,train,0.009298651,False,return_temp_c
2024-06-14 18:45:00,0.020024227,False,train,0.020024227,False,return_temp_c
2024-06-15 06:45:00,0.009529588,False,train,0.009529588,False,return_temp_c
2024-06-15 18:45:00,0.010672647,False,train,0.010672647,False,return_temp_c
2024-06-16 06:45:00,0.005658942,False,train,0.005658942,False,return_temp_c
2024-06-16 18:45:00,0.005928833,False,train,0.005928833,False,return_temp_c
2024-06-17 06:45:00,0.005089025,False,train,0.005089025,False,return_temp_c
2024-06-17 18:45:00,0.0052406006,False,train,0.0052406006,False,return_temp_c
2024-06-18 06:45:00,0.0078973435,False,train,0.0078973435,False,return_temp_c
2024-06-18 18:45:00,0.013501526,False,train,0.013501526,False,return_temp_c
2024-06-19 06:45:00,0.009054167,False,train,0.009054167,False,return_temp_c
2024-06-19 18:45:00,0.006108562,False,train,0.006108562,False,return_temp_c
2024-06-20 06:45:00,0.008582485,False,train,0.008582485,False,return_temp_c
2024-06-20 18:45:00,0.0145536335,False,train,0.0145536335,False,return_temp_c
2024-06-21 06:45:00,0.0353794,False,train,0.0353794,False,return_temp_c
2024-06-21 18:45:00,0.017438304,False,train,0.017438304,False,return_temp_c
2024-06-22 06:45:00,0.006823813,False,train,0.006823813,False,return_temp_c
2024-06-22 18:45:00,0.013213624,False,train,0.013213624,False,return_temp_c
2024-06-23 06:45:00,0.008791777,False,train,0.008791777,False,return_temp_c
2024-06-23 18:45:00,0.014630735,False,train,0.014630735,False,return_temp_c
2024-06-24 06:45:00,0.012078644,False,train,0.012078644,False,return_temp_c
2024-06-24 18:45:00,0.015651586,False,train,0.015651586,False,return_temp_c
2024-06-25 06:45:00,0.010333484,False,train,0.010333484,False,return_temp_c
2024-06-25 18:45:00,0.014169742,False,train,0.014169742,False,return_temp_c
2024-06-26 06:45:00,0.012391373,False,train,0.012391373,False,return_temp_c
2024-06-26 18:45:00,0.025979295,False,train,0.025979295,False,return_temp_c
2024-06-27 06:45:00,0.01762037,False,train,0.01762037,False,return_temp_c
