display_label,sheet,rank,window_start,window_end,split,reconstruction_mse,dominant_anomalous_feature,resampled_points,median_supply_temp_c,median_return_temp_c,median_stabilized_flow_log_feature,supply_temp_c_reconstruction_mse,return_temp_c_reconstruction_mse,stabilized_flow_log_feature_reconstruction_mse,median_delta_t_c,min_delta_t_c,low_delta_t_anomaly_points,has_low_delta_t_overlap,threshold_method,threshold_value
Abat Oliba,cons_abat_oliba,2,2024-09-23 06:45:00,2024-09-24 06:45:00,train,0.3816488,supply_temp_c,96,72.1800003,69.5299988,0.8397506547518208,0.4556369,0.25828862,0.43102095,0.5799999499999942,-1.939998600000003,0,False,train_3sigma,0.3417040109634399
Hostatgeria DHW Radiators,cons_hostatgeria_DHW_radiators,1,2025-06-16 17:00:00,2025-06-17 17:00:00,test,1.1052167,stabilized_flow_log_feature,96,78.17499923706055,74.30000305175781,0.6590197728781362,0.14005204,0.17480876,3.000789,2.8199996948242188,-2.089996337890625,0,False,train_3sigma,0.3558348417282104
Hostatgeria DHW Radiators,cons_hostatgeria_DHW_radiators,2,2025-06-17 05:00:00,2025-06-18 05:00:00,test,1.0575867,stabilized_flow_log_feature,96,77.78999900817871,74.30999755859375,0.6838467683858258,0.20996265,0.1666029,2.796194,2.625,-2.089996337890625,0,False,train_3sigma,0.3558348417282104
Hostatgeria DHW Radiators,cons_hostatgeria_DHW_radiators,3,2025-06-17 17:00:00,2025-06-18 17:00:00,test,1.0298481,stabilized_flow_log_feature,96,77.35499954223633,74.10750198364258,0.6680004421017782,0.21985166,0.20260926,2.6670835,2.779998779296875,-4.799995422363281,0,False,train_3sigma,0.3558348417282104
Hostatgeria DHW Radiators,cons_hostatgeria_DHW_radiators,4,2025-06-18 05:00:00,2025-06-19 05:00:00,test,1.0033337,stabilized_flow_log_feature,96,77.88999938964844,73.92499923706055,0.6612688704123897,0.19103956,0.19006379,2.6288974,2.8800048828125,-4.799995422363281,0,False,train_3sigma,0.3558348417282104
Hostatgeria DHW Radiators,cons_hostatgeria_DHW_radiators,5,2025-06-18 17:00:00,2025-06-19 17:00:00,test,0.8410917,stabilized_flow_log_feature,96,76.89999771118164,73.6099967956543,0.6385369491991859,0.17405695,0.18179667,2.1674216,2.799995422363281,-3.0800018310546875,0,False,train_3sigma,0.3558348417282104
Hostatgeria DHW Radiators,cons_hostatgeria_DHW_radiators,6,2025-06-16 05:00:00,2025-06-17 05:00:00,test,0.78757906,stabilized_flow_log_feature,96,77.93500137329102,74.20000076293945,0.7223010461085986,0.16122462,0.1727621,2.0287507,3.209999084472656,-2.1300048828125,0,False,train_3sigma,0.3558348417282104
Hostatgeria Underfloor,cons_hostatgeria_underfloor_hea,1,2024-04-03 18:45:00,2024-04-04 18:45:00,train,4.1792774,supply_temp_c,96,66.89416535695395,44.829999923706055,0.0864942315518687,8.756378,2.0360897,1.7453647,14.130001068115234,-2.3799972534179688,125,True,train_3sigma,1.538823485374451
Hostatgeria Underfloor,cons_hostatgeria_underfloor_hea,2,2024-10-25 18:45:00,2024-10-26 18:45:00,test,2.8034685,return_temp_c,96,78.12999725341797,29.950000762939453,0.0037252593903367,0.15559427,7.02692,1.227892,47.97999954223633,26.299999237060547,0,False,train_3sigma,1.538823485374451
Hostatgeria Underfloor,cons_hostatgeria_underfloor_hea,3,2024-04-03 06:45:00,2024-04-04 06:45:00,train,2.3978107,supply_temp_c,96,72.10000228881836,44.19499969482422,0.0689459807530028,4.8624554,1.1759051,1.1550719,26.05499839782715,-2.3799972534179688,75,True,train_3sigma,1.538823485374451
Hostatgeria Underfloor,cons_hostatgeria_underfloor_hea,4,2024-04-04 06:45:00,2024-04-05 06:45:00,train,2.24682,supply_temp_c,96,76.66999816894531,55.64499855041504,0.0427464471431162,4.4095645,1.472641,0.858254,23.950000762939453,-2.049999237060547,50,True,train_3sigma,1.538823485374451
Hostatgeria Underfloor,cons_hostatgeria_underfloor_hea,5,2024-03-10 06:45:00,2024-03-11 06:45:00,train,1.9127584,supply_temp_c,96,63.61499977111816,44.64500045776367,0.2403362925259951,3.3410156,0.517573,1.8796864,18.64000129699707,9.55999755859375,4,True,train_3sigma,1.538823485374451
Nostra Senyora,cons_nostra_senyora,1,2025-03-16 20:00:00,2025-03-17 20:00:00,train,0.7391646,supply_temp_c,96,78.52499771118164,65.30999755859375,0.5351668325912031,1.1180943,0.73756766,0.36183187,9.919998168945312,-10.860000610351562,0,False,train_3sigma,0.366076111793518
Nostra Senyora,cons_nostra_senyora,2,2024-09-22 20:00:00,2024-09-23 20:00:00,train,0.71180135,stabilized_flow_log_feature,96,46.77999877929688,39.880001068115234,0.0105926997263305,0.47095433,0.5793206,1.085129,7.029998779296875,3.029998779296875,0,False,train_3sigma,0.366076111793518
Nostra Senyora,cons_nostra_senyora,3,2025-03-17 08:00:00,2025-03-18 08:00:00,train,0.6646876,supply_temp_c,96,77.96500015258789,62.46500015258789,0.0320643678741536,0.99895,0.61903226,0.3760806,10.350006103515623,-10.860000610351562,0,False,train_3sigma,0.366076111793518
Nostra Senyora,cons_nostra_senyora,4,2024-09-22 08:00:00,2024-09-23 08:00:00,train,0.65847963,stabilized_flow_log_feature,96,46.80500030517578,40.25,0.0105145317795776,0.47658768,0.49343994,1.0054113,6.909997940063477,3.35000228881836,0,False,train_3sigma,0.366076111793518
Nostra Senyora,cons_nostra_senyora,5,2024-09-23 08:00:00,2024-09-24 08:00:00,train,0.54470974,stabilized_flow_log_feature,96,64.14999961853027,44.295000076293945,0.0122409398925532,0.4320004,0.5590226,0.64310634,17.764999389648438,3.029998779296875,0,False,train_3sigma,0.366076111793518
Nostra Senyora,cons_nostra_senyora,6,2025-03-09 20:00:00,2025-03-10 20:00:00,train,0.5365408,return_temp_c,96,78.83499908447266,62.420000076293945,0.4509668004994509,0.51559204,0.87909055,0.21494001,12.979995727539062,1.0,0,False,train_3sigma,0.366076111793518
