window_start,reconstruction_mse,is_reconstruction_anomaly,split,stabilized_flow_log_feature_reconstruction_mse,is_stabilized_flow_log_feature_channel_anomaly,dominant_anomalous_feature
2024-03-12 18:45:00,0.19484226,False,train,0.19484226,False,stabilized_flow_log_feature
2024-03-13 06:45:00,0.15243298,False,train,0.15243298,False,stabilized_flow_log_feature
2024-03-13 18:45:00,0.13717644,False,train,0.13717644,False,stabilized_flow_log_feature
2024-03-14 06:45:00,0.121770255,False,train,0.121770255,False,stabilized_flow_log_feature
2024-03-14 18:45:00,0.09860722,False,train,0.09860722,False,stabilized_flow_log_feature
2024-03-15 06:45:00,0.06770625,False,train,0.06770625,False,stabilized_flow_log_feature
2024-03-15 18:45:00,0.09191158,False,train,0.09191158,False,stabilized_flow_log_feature
2024-03-16 06:45:00,0.08554634,False,train,0.08554634,False,stabilized_flow_log_feature
2024-03-16 18:45:00,0.19238836,False,train,0.19238836,False,stabilized_flow_log_feature
2024-03-17 06:45:00,0.20082809,False,train,0.20082809,False,stabilized_flow_log_feature
2024-03-17 18:45:00,0.06607296,False,train,0.06607296,False,stabilized_flow_log_feature
2024-03-18 06:45:00,0.055600286,False,train,0.055600286,False,stabilized_flow_log_feature
2024-03-18 18:45:00,0.05756861,False,train,0.05756861,False,stabilized_flow_log_feature
2024-03-19 06:45:00,0.052753765,False,train,0.052753765,False,stabilized_flow_log_feature
2024-03-19 18:45:00,0.07910075,False,train,0.07910075,False,stabilized_flow_log_feature
2024-03-20 06:45:00,0.09180593,False,train,0.09180593,False,stabilized_flow_log_feature
2024-03-20 18:45:00,0.0725717,False,train,0.0725717,False,stabilized_flow_log_feature
2024-03-21 06:45:00,0.07084259,False,train,0.07084259,False,stabilized_flow_log_feature
2024-03-21 18:45:00,0.071523674,False,train,0.071523674,False,stabilized_flow_log_feature
2024-03-23 06:45:00,0.08996341,False,train,0.08996341,False,stabilized_flow_log_feature
2024-03-23 18:45:00,0.09720329,False,train,0.09720329,False,stabilized_flow_log_feature
2024-03-24 06:45:00,0.0948546,False,train,0.0948546,False,stabilized_flow_log_feature
2024-03-24 18:45:00,0.069427066,False,train,0.069427066,False,stabilized_flow_log_feature
2024-03-25 06:45:00,0.07931092,False,train,0.07931092,False,stabilized_flow_log_feature
2024-03-25 18:45:00,0.1829629,False,train,0.1829629,False,stabilized_flow_log_feature
2024-03-26 06:45:00,0.30084798,False,train,0.30084798,False,stabilized_flow_log_feature
2024-03-26 18:45:00,0.27104363,False,train,0.27104363,False,stabilized_flow_log_feature
2024-03-27 06:45:00,0.25967678,False,train,0.25967678,False,stabilized_flow_log_feature
2024-03-27 18:45:00,0.25871703,False,train,0.25871703,False,stabilized_flow_log_feature
2024-03-28 06:45:00,0.14085177,False,train,0.14085177,False,stabilized_flow_log_feature
2024-03-28 18:45:00,0.15485118,False,train,0.15485118,False,stabilized_flow_log_feature
2024-03-29 06:45:00,0.19626816,False,train,0.19626816,False,stabilized_flow_log_feature
2024-03-29 18:45:00,0.13513306,False,train,0.13513306,False,stabilized_flow_log_feature
2024-03-30 06:45:00,0.1420434,False,train,0.1420434,False,stabilized_flow_log_feature
2024-03-30 18:45:00,0.19691981,False,train,0.19691981,False,stabilized_flow_log_feature
2024-03-31 06:45:00,0.30533555,False,train,0.30533555,False,stabilized_flow_log_feature
2024-03-31 18:45:00,0.27491668,False,train,0.27491668,False,stabilized_flow_log_feature
2024-04-01 06:45:00,0.23971625,False,train,0.23971625,False,stabilized_flow_log_feature
2024-04-01 18:45:00,0.2557601,False,train,0.2557601,False,stabilized_flow_log_feature
2024-04-02 06:45:00,0.20917845,False,train,0.20917845,False,stabilized_flow_log_feature
2024-04-02 18:45:00,0.14004822,False,train,0.14004822,False,stabilized_flow_log_feature
2024-04-03 06:45:00,0.7724926,False,train,0.7724926,False,stabilized_flow_log_feature
2024-04-03 18:45:00,1.3925093,True,train,1.3925093,True,stabilized_flow_log_feature
2024-04-04 06:45:00,0.70305496,False,train,0.70305496,False,stabilized_flow_log_feature
2024-04-04 18:45:00,0.09375199,False,train,0.09375199,False,stabilized_flow_log_feature
2024-04-05 06:45:00,0.08758796,False,train,0.08758796,False,stabilized_flow_log_feature
2024-04-08 06:45:00,0.045120835,False,train,0.045120835,False,stabilized_flow_log_feature
2024-04-08 18:45:00,0.08763815,False,train,0.08763815,False,stabilized_flow_log_feature
2024-04-09 06:45:00,0.14677857,False,train,0.14677857,False,stabilized_flow_log_feature
2024-04-09 18:45:00,0.12991907,False,train,0.12991907,False,stabilized_flow_log_feature
2024-04-10 06:45:00,0.15950961,False,train,0.15950961,False,stabilized_flow_log_feature
2024-04-10 18:45:00,0.15766257,False,train,0.15766257,False,stabilized_flow_log_feature
2024-04-11 06:45:00,0.09889784,False,train,0.09889784,False,stabilized_flow_log_feature
2024-04-11 18:45:00,0.08286977,False,train,0.08286977,False,stabilized_flow_log_feature
2024-04-12 06:45:00,0.057294954,False,train,0.057294954,False,stabilized_flow_log_feature
2024-04-12 18:45:00,0.054295342,False,train,0.054295342,False,stabilized_flow_log_feature
2024-04-13 06:45:00,0.040672228,False,train,0.040672228,False,stabilized_flow_log_feature
2024-04-13 18:45:00,0.04339786,False,train,0.04339786,False,stabilized_flow_log_feature
2024-04-14 06:45:00,0.062642425,False,train,0.062642425,False,stabilized_flow_log_feature
2024-04-14 18:45:00,0.060841292,False,train,0.060841292,False,stabilized_flow_log_feature
2024-04-15 06:45:00,0.042113233,False,train,0.042113233,False,stabilized_flow_log_feature
2024-04-15 18:45:00,0.050622594,False,train,0.050622594,False,stabilized_flow_log_feature
2024-04-17 06:45:00,0.3004677,False,train,0.3004677,False,stabilized_flow_log_feature
2024-04-17 18:45:00,0.10660372,False,train,0.10660372,False,stabilized_flow_log_feature
2024-04-19 06:45:00,0.10770056,False,train,0.10770056,False,stabilized_flow_log_feature
2024-04-19 18:45:00,0.17987293,False,train,0.17987293,False,stabilized_flow_log_feature
2024-04-20 06:45:00,0.14999177,False,train,0.14999177,False,stabilized_flow_log_feature
2024-04-20 18:45:00,0.15119515,False,train,0.15119515,False,stabilized_flow_log_feature
2024-04-21 06:45:00,0.1959023,False,train,0.1959023,False,stabilized_flow_log_feature
2024-04-21 18:45:00,0.28490636,False,train,0.28490636,False,stabilized_flow_log_feature
2024-04-22 06:45:00,0.3914524,False,train,0.3914524,False,stabilized_flow_log_feature
2024-04-22 18:45:00,0.47344604,False,train,0.47344604,False,stabilized_flow_log_feature
2024-04-23 06:45:00,0.4859279,False,train,0.4859279,False,stabilized_flow_log_feature
2024-04-23 18:45:00,0.359135,False,train,0.359135,False,stabilized_flow_log_feature
2024-04-24 06:45:00,0.30065152,False,train,0.30065152,False,stabilized_flow_log_feature
2024-04-24 18:45:00,0.22916913,False,train,0.22916913,False,stabilized_flow_log_feature
2024-04-25 06:45:00,0.33073226,False,train,0.33073226,False,stabilized_flow_log_feature
2024-04-25 18:45:00,0.33254293,False,train,0.33254293,False,stabilized_flow_log_feature
2024-04-26 06:45:00,0.1855721,False,train,0.1855721,False,stabilized_flow_log_feature
2024-04-26 18:45:00,0.28680745,False,train,0.28680745,False,stabilized_flow_log_feature
2024-04-27 06:45:00,0.30116597,False,train,0.30116597,False,stabilized_flow_log_feature
2024-04-27 18:45:00,0.21388744,False,train,0.21388744,False,stabilized_flow_log_feature
2024-04-28 06:45:00,0.23728682,False,train,0.23728682,False,stabilized_flow_log_feature
2024-04-28 18:45:00,0.31950572,False,train,0.31950572,False,stabilized_flow_log_feature
2024-04-29 06:45:00,0.27053845,False,train,0.27053845,False,stabilized_flow_log_feature
2024-04-29 18:45:00,0.3926754,False,train,0.3926754,False,stabilized_flow_log_feature
2024-04-30 06:45:00,0.55298626,False,train,0.55298626,False,stabilized_flow_log_feature
2024-04-30 18:45:00,0.29485616,False,train,0.29485616,False,stabilized_flow_log_feature
2024-05-01 06:45:00,0.3347664,False,train,0.3347664,False,stabilized_flow_log_feature
2024-05-01 18:45:00,0.3541101,False,train,0.3541101,False,stabilized_flow_log_feature
2024-05-02 06:45:00,0.16283967,False,train,0.16283967,False,stabilized_flow_log_feature
2024-05-02 18:45:00,0.1328941,False,train,0.1328941,False,stabilized_flow_log_feature
2024-05-03 06:45:00,0.14027856,False,train,0.14027856,False,stabilized_flow_log_feature
2024-05-03 18:45:00,0.1582949,False,train,0.1582949,False,stabilized_flow_log_feature
2024-05-04 06:45:00,0.07230603,False,train,0.07230603,False,stabilized_flow_log_feature
2024-05-04 18:45:00,0.056435067,False,train,0.056435067,False,stabilized_flow_log_feature
2024-05-05 18:45:00,0.061065048,False,train,0.061065048,False,stabilized_flow_log_feature
2024-05-06 06:45:00,0.052414626,False,train,0.052414626,False,stabilized_flow_log_feature
2024-05-06 18:45:00,0.045670163,False,train,0.045670163,False,stabilized_flow_log_feature
2024-05-07 06:45:00,0.096290685,False,train,0.096290685,False,stabilized_flow_log_feature
2024-05-08 18:45:00,0.06534666,False,train,0.06534666,False,stabilized_flow_log_feature
2024-05-09 06:45:00,0.049005467,False,train,0.049005467,False,stabilized_flow_log_feature
2024-05-09 18:45:00,0.10582941,False,train,0.10582941,False,stabilized_flow_log_feature
2024-05-10 06:45:00,0.101948135,False,train,0.101948135,False,stabilized_flow_log_feature
2024-05-10 18:45:00,0.04181649,False,train,0.04181649,False,stabilized_flow_log_feature
2024-05-11 06:45:00,0.043965086,False,train,0.043965086,False,stabilized_flow_log_feature
2024-05-11 18:45:00,0.041183654,False,train,0.041183654,False,stabilized_flow_log_feature
2024-05-12 06:45:00,0.042294364,False,train,0.042294364,False,stabilized_flow_log_feature
2024-05-12 18:45:00,0.037903707,False,train,0.037903707,False,stabilized_flow_log_feature
2024-05-13 06:45:00,0.036046308,False,train,0.036046308,False,stabilized_flow_log_feature
2024-05-13 18:45:00,0.040503055,False,train,0.040503055,False,stabilized_flow_log_feature
2024-05-14 06:45:00,0.04077456,False,train,0.04077456,False,stabilized_flow_log_feature
2024-05-14 18:45:00,0.03964689,False,train,0.03964689,False,stabilized_flow_log_feature
2024-05-15 06:45:00,0.03896567,False,train,0.03896567,False,stabilized_flow_log_feature
2024-05-15 18:45:00,0.037083473,False,train,0.037083473,False,stabilized_flow_log_feature
2024-05-16 06:45:00,0.036419537,False,train,0.036419537,False,stabilized_flow_log_feature
2024-05-16 18:45:00,0.041531797,False,train,0.041531797,False,stabilized_flow_log_feature
2024-05-17 06:45:00,0.042079646,False,train,0.042079646,False,stabilized_flow_log_feature
2024-05-17 18:45:00,0.037925143,False,train,0.037925143,False,stabilized_flow_log_feature
2024-05-18 06:45:00,0.036822572,False,train,0.036822572,False,stabilized_flow_log_feature
2024-05-18 18:45:00,0.03465795,False,test,0.03465795,False,stabilized_flow_log_feature
2024-05-19 06:45:00,0.0370553,False,test,0.0370553,False,stabilized_flow_log_feature
2024-05-19 18:45:00,0.03964695,False,test,0.03964695,False,stabilized_flow_log_feature
